Barcode;Mass;MassRate;Payment;Value;InsrRate;AirRate;IndexTo;City;Street;Addressee;Comment;;;TelAddress
11172572335630;4650;29240;0;0;0;0;199178;г.Санкт-Петербург, 4 линия, д.65, лит.А;;"ООО ""СулуС""";Заказ №23 (1209/18,1204/08,1225/06,1223/07,1215/07,1223/06,1223/09)
11172572335647;2900;21690;0;0;0;0;214012;г.Смоленск, ул.Кашена, д.1, офис 506;;"ООО ""СитиКом"" Смоленск";Заказ №24 (1023/01)
11172572335654;970;16330;0;0;0;0;248001;г.Калуга, ул.Кирова, 68;;"ФГУП ""РТРС"" филиала ""Калужский ОРТПЦ""";Заказ №25 (1119/06)
11172572335661;3560;24370;0;0;0;0;302025;г. Орел, Московское шоссе, 137;;"ЗАО ""СМУ-5""";Заказ №26 (1210/04)
11172572335678;680;16760;0;0;0;0;308015;г. Белгород, проезд Промышенный, д. 7;;"ООО ""СтройТелекомСервис""";Заказ №27 (1021/09)
11172572335685;1970;19880;0;0;0;0;350000;г.Краснодар, ул.Головатого, 294;;"Краснодарский филиал ОАО ""Ростелеком""";Заказ №28 (0910/29)
11172572335692;1180;18320;0;0;0;0;350042;г. Краснодар, ул. Колхозная. 3, офис 103;;"ООО ""Спринт""";Заказ №29 (1205/11,1205/10)
11172572335708;1170;18320;0;0;0;0;350062;г.Краснодар, ул.Гагарина, 67;;"ОАО ""ГИПРОСВЯЗЬ"" Южный филиал";Заказ №30 (0906/04)
11172572335715;1560;19880;0;0;0;0;350075;РФ, Краснодарский край, г. Краснодар, ул. Стасова, 182/1;;"ООО ""АЛЬФА ТЕЛЕКОМ"" 1";Заказ №31 (1126/27)
11172572335722;2940;21690;0;0;0;0;394030;г.Воронеж, ул. 9 Января, д.68;;"ООО ""СвязьКомплектВоронеж""";Заказ №32 (1205/03)
11172572335739;2380;20350;0;0;0;0;394030;г.Воронеж, ул. 9 Января, д.68;;"ООО ""СвязьКомплектВоронеж""";Заказ №32 (1205/03)
11172572335746;2540;21690;0;0;0;0;398902;г. Липецк, ул. Ударников, 7 А;;"ООО ""Профессионал""";Заказ №33 (1227/02)
11172572335753;3140;23030;0;0;0;0;398902;г. Липецк, ул. Ударников, 7 А;;"ООО ""Профессионал""";Заказ №33 (1227/02)
11172572335760;530;16760;0;0;0;0;400005;г. Волгоград. ул. Советская, 49;;"ООО ""Газкомплектресурс""";Заказ №34 (1223/14,1223/16)
11172572335777;1470;18320;0;0;0;0;410012;г. Саратов, ул. Большая Казачья, дом 6;;"ООО ""Компания АЛС и ТЕК""";Заказ №35 (0403/01)
11172572335784;2360;21440;0;0;0;0;410019;г. Саратов, ул. Крайняя, д. 129;;"ООО ""КОРОНЭЛЬ""";Заказ №36 (0402/02)
11172572335791;3990;26120;0;0;0;0;410019;г. Саратов, ул. Крайняя, д. 129;;"ООО ""КОРОНЭЛЬ""";Заказ №36 (0402/02)
11172572335807;1300;18320;0;0;0;0;410056;г. Саратов, ул. Чернышевского, 94;;"ООО ""ВСС""";Заказ №37 (0820/06)
11172572335814;3210;24560;0;0;0;0;420066;РТ, г. Казань, ул. Солдатская, 8;;"ООО ""ЭНЕРЖИ-ГРУПП""";Заказ №38 (0729/07)
11172572335821;3940;26120;0;0;0;0;420066;РТ, г. Казань, ул. Солдатская, 8;;"ООО ""ЭНЕРЖИ-ГРУПП""";Заказ №38 (0729/07)
11172572335838;1890;19880;0;0;0;0;420087;Республика Татарстан, г.Казань, ул.Сибирский тракт, д.34, корп.4;;"ООО ""СТРОЙ РЕГИОН""";Заказ №39 (1018/20)
11172572335845;3460;24560;0;0;0;0;420087;Республика Татарстан, г.Казань, ул.Родины, д.2;;"ООО ""СтройРегион""";Заказ №40 (1208/17)
11172572335852;3830;26120;0;0;0;0;420087;Республика Татарстан, г.Казань, ул.Родины, д.2;;"ООО ""СтройРегион""";Заказ №40 (1208/17)
11172572335869;760;16760;0;0;0;0;420097;г.Казань, ул.Академическая, 2;;"ОАО ""ТАТМЕДИА""";Заказ №41 (0815/12)
11172572335876;1300;18320;0;0;0;0;428000;Чувашская Республика Чебоксары, ул. Шумилова, 20;;"ООО ""Компания ""СДС-ГРУП""";Заказ №42 (0815/09)
11172572335883;1200;18320;0;0;0;0;443009;г. Самара,ул. Заводское шоссе, д. 55;;"ООО ""Азимут Радиокоммуникации""";Заказ №43 (1029/18)
11172572335890;3800;26120;0;0;0;0;443082;г.Самара, ул.Луцкая, 16;;"ООО ""Самара Связь Сервис""";Заказ №44 (1128/08)
11172572335906;470;15200;0;0;0;0;443090;РФ, г. Самара. ул. Антонова-Овсеенко, д. 44А, оф. 307;;"ООО ""СТРОЙ-ТЕХКОМ""";Заказ №45 (1220/08)
11172572335913;4440;27680;0;0;0;0;443125;г. Самара, ул. Силовая, д.1, оф. 208;;"ООО ""ТехКонтакт""";Заказ №46 (0420/01)
11172572335920;1010;18320;0;0;0;0;446441;Самарская область. г. Кинель, пгт. Алексеевка. ул. Невская, д. 12;;"ООО ""ТК-Телеком""";Заказ №47 (1106/06)
11172572335937;3070;24560;0;0;0;0;450001;Башкортостан, г.Уфа, Проспект Октября, 4/3;;"ОАО ""Уфанет""";Заказ №48 (1126/06)
11172572335944;3500;24560;0;0;0;0;454000;г. Челябинск, пр. Ленина, 2к, оф. 411;;"ООО ""Инженерные сети - Проект"" 1";Заказ №49 (1216/14)
11172572335951;1300;18320;0;0;0;0;454000;г. Челябинск, пр. Ленина, 2к, оф. 411;;"ООО ""Инженерные сети - Проект"" 1";Заказ №51 (0228/11)
11172572335968;4000;26120;0;0;0;0;454007;г.Челябинск, ул.Артиллерийская, 117;;"ООО ""Инженерные сети - Проект""";Заказ №52 (1223/01)
11172572335975;1880;19010;0;0;0;0;600005;г. Владимир, 1-ый Коллективный проезд, д. 5а;;"ООО ""Компания Навигатор""";Заказ №53 (1007/05)
11172572335982;1200;17670;0;0;0;0;603152;г. Н.Новгород, ул. Ларина, 10,оф.207;;"ООО ""ПМК-411 ""Связьстрой""";Заказ №54 (1021/07)
11172572335999;1580;19010;0;0;0;0;603152;г. Н.Новгород, ул. Ларина, 10,оф.207;;"ООО ""ПМК-411 ""Связьстрой""";Заказ №55 (1129/01)
11172572336002;3480;24560;0;0;0;0;617060;г.Пермь, Б.Гагарина, 14;;"ООО ""Альциона-С""";Заказ №56 (1113/10,1113/11)
11172572336019;3960;26120;0;0;0;0;620030;г.Екатеринбург, Карьерная, 14, оф.30;;"ООО ""Строительная компания ТРОН""";Заказ №57 (0211/01)
11172572336026;2830;23000;0;0;0;0;620030;г.Екатеринбург, Карьерная, 14, оф.30;;"ООО ""Строительная компания ТРОН""";Заказ №57 (0211/01)
11172572336033;2020;21440;0;0;0;0;620000;г.Екатеринбург, ул.Мамина-Сибиряка,85, 8 этаж;;"ООО ""Мобифон-2000""";Заказ №58 (1127/08)
11172572336040;670;18040;0;0;0;0;625000;г. Тюмень, ул. Ленина 38/1;;"ООО ""Инжиниринговая компания""";Заказ №59 (0711/01)
11172572336057;7470;47030;0;0;0;0;625000;г. Тюмень, ул. Ленина 38/1;;"ООО ""Инжиниринговая компания""";Заказ №59 (0711/01)
11172572336064;1160;20270;0;0;0;0;625008;г.Тюмень, ул.Молодежная, 81;;"ООО ""Северное волокно""";Заказ №60 (1203/08)
11172572336071;1000;18040;0;0;0;0;628634;РФ, Тюменская область,, Ханты-Мансийский АО-Югра, Нижневартовский район, поселок Излучинск, ул.Энергетиков, д.1;;"ОАО ""Северсвязь""";Заказ №61 (1211/42)
11172572336088;320;15810;0;0;0;0;630004;г.Новосибирск, пр-т Комсомольский, д.1. кор.4;;"ЗАО ""Зап-СибТранстелеком""";Заказ №62 (1113/19)
11172572336095;440;15810;0;0;0;0;630005;г.Новосибирск, ул.Крылова 36, оф.42;;"ООО ""Технострой""";Заказ №63 (0903/15)
11172572336101;1140;20270;0;0;0;0;630048;г.Новосибирск, а/я 175,;;"ООО ""Сибирь-Сигнал""";Заказ №64 (1203/09)
11172572336118;730;18040;0;0;0;0;630073;г.Новосибирск, ул.Горская, 2, офис 4;;"ООО ""Сибспецстрой""";Заказ №65 (0416/09)
11172572336125;1410;20270;0;0;0;0;630082;г.Новосибирск, ул.2-я Союза Молодежи, 31;;"ОАО ""Гипросвязь-4""";Заказ №66 (1129/09,1213/13,1128/04)
11172572336132;2900;26960;0;0;0;0;630082;г.Новосибирск, ул.2-я Союза Молодежи, 31;;"ОАО ""Гипросвязь-4""";Заказ №66 (1129/09,1213/13,1128/04)
11172572336149;4260;33650;0;0;0;0;633010;г.Бердск, ул. Ленина,44;;"ООО ""Строительно-Архитектурная компания Эксперт Проект"" (ООО ""САКЭП"")";Заказ №67 (1126/16,1126/18)
11172572336156;1470;20270;0;0;0;0;633010;г.Бердск, ул. Ленина,44;;"ООО ""Строительно-Архитектурная компания Эксперт Проект"" (ООО ""САКЭП"")";Заказ №67 (1126/16,1126/18)
11172572336163;1720;22500;0;0;0;0;633010;г.Бердск, ул. Ленина,44;;"ООО ""Строительно-Архитектурная компания Эксперт Проект"" (ООО ""САКЭП"")";Заказ №68 (1126/09,1126/14,1126/17,1126/10,1126/11,1126/15,1126/19)
11172572336170;660;18040;0;0;0;0;644021;г. Омск, ул. 4-я Транспортная, 3;;"ООО ""СвязьСтройМонтаж""";Заказ №69 (0406/03)
11172572336187;670;18040;0;0;0;0;650000;г. Кемерово, ул. Коломейцева, д.6;;"ООО ""Группа компаний ""СвязьИнфоПроект""";Заказ №70 (0116/03)
11172572336194;4410;33650;0;0;0;0;656002;г. Барнаул, ул. Цеховая. 58;;"ООО ""Азиятелеком""";Заказ №71 (1128/09,1219/05,1126/24,1210/03,1203/03,1031/10)
11172572336200;5200;38110;0;0;0;0;656002;г. Барнаул, ул. Цеховая. 58;;"ООО ""Азиятелеком""";Заказ №71 (1128/09,1219/05,1126/24,1210/03,1203/03,1031/10)
11172572336217;3370;29190;0;0;0;0;656002;г. Барнаул, ул. Цеховая. 58;;"ООО ""Азиятелеком""";Заказ №71 (1128/09,1219/05,1126/24,1210/03,1203/03,1031/10)
11172572336224;5070;38110;0;0;0;0;656002;г. Барнаул, ул. Цеховая. 58;;"ООО ""Азиятелеком""";Заказ №71 (1128/09,1219/05,1126/24,1210/03,1203/03,1031/10)
11172572336231;5010;38110;0;0;0;0;656002;г. Барнаул, ул. Цеховая. 58;;"ООО ""Азиятелеком""";Заказ №71 (1128/09,1219/05,1126/24,1210/03,1203/03,1031/10)
11172572336248;2280;24730;0;0;0;0;656049;Алтайский край, г. Барнаул, ул. Пролетарская, 159а;;"ООО ""Алтайтелефонстрой""";Заказ №72 (0628/10)
11172572336255;3680;31420;0;0;0;0;656049;Алтайский край, г. Барнаул, ул. Пролетарская, 159а;;"ООО ""Алтайтелефонстрой""";Заказ №72 (0628/10)
11172572336262;840;18040;0;0;0;0;656049;Алтайский край, г. Барнаул, ул. Пролетарская, 159а;;"ООО ""Алтайтелефонстрой""";Заказ №73 (1230/06,1209/09)
11172572336279;3340;29190;0;0;0;0;656049;г.Барнаул, ул.Пролетарская, 159а;;"ООО ""АлтайТелефонСтрой"" 1";Заказ №74 (1119/16)
11172572336286;1400;20270;0;0;0;0;660020;г.Красноярск, ул.Качинская, 20;;"ЗАО ""Енисейтелеком""";Заказ №75 (0916/19)
11172572336293;1720;28800;0;0;0;0;675000;Амурская область, г.Благовещенск, ул. Комсомольская, д. 49;;"ООО ""Сириус-М""";Заказ №76 (0128/02)
11172572336309;4030;50620;0;0;0;0;680011;г. Хабаровск, ул. Запарина, 137;;"ЗАО ""ЛАНИТ-ПАРТНЕР""";Заказ №77 (0910/22)
11172572336316;5040;57900;0;0;0;0;680011;г. Хабаровск, ул. Запарина, 137;;"ЗАО ""ЛАНИТ-ПАРТНЕР""";Заказ №77 (0910/22)
11172572336323;3540;46980;0;0;0;0;680011;г. Хабаровск, ул. Запарина, 137;;"ЗАО ""ЛАНИТ-ПАРТНЕР""";Заказ №77 (0910/22)
11172572336330;540;25140;0;0;0;0;680000;г.Хабаровск, ул.Павловича, д.7а;;"Филиал ФГУП ""РТРС"" Дальневосточный региональный центр";Заказ №78 (1210/05)
11172572336347;1100;28780;0;0;0;0;680000;г.Хабаровск, ул.Павловича, д.7а;;"Филиал ФГУП ""РТРС"" Дальневосточный региональный центр";Заказ №79 (1125/13)
11172572336354;20000;76040;0;0;0;0;454000;г. Челябинск, пр. Ленина, 2к, оф. 411;;"ООО ""Инженерные сети - Проект"" 1";Заказ №50 (1216/14)
11172572336361;16700;89400;0;0;0;0;625000;г. Тюмень, ул. Ленина 38/1;;"ООО ""Инжиниринговая компания""";Заказ №59 (0711/01)
11172572336378;16800;89400;0;0;0;0;625000;г. Тюмень, ул. Ленина 38/1;;"ООО ""Инжиниринговая компания""";Заказ №59 (0711/01)
11172572336385;15000;80480;0;0;0;0;625000;г. Тюмень, ул. Ленина 38/1;;"ООО ""Инжиниринговая компания""";Заказ №59 (0711/01)
